Date,Transaction Description,Debit,Credit,Balance
31/08/23,B/F,0.0,0.00,8125.47
1/09/23,RIB/MB TRF FROM CA/SA,0,30.00,8155.47
1/09/23,R18/MB TRF FROM CA/SA,0.00,101.00,8256.47
1/09/23,R1B/MB TRF FROM CA/SA,0.00,100.00,8356.47
1/09/23,RIB/MB TRF FROM CA/SA,0.00,30.00,8386.47
1/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,8486.47
1/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,8586.47
1/09/23,R1B8/MB TRF FROM CA/SA,0.00,30.00,8616.47
1/09/23,RIB/MB TRF FROM CA/SA,0.00,30.00,8646.47
1/09/23,RIB/MB TRF FROM CA/SA,0.00,1000.00,9646.47
1/09/23,RIB/NB TRF FROM CA/SA,0.00,1000.00,10646.47
1/09/23,RIB/NB TRF FROM CA/SA,0.00,200.00,10846.47
1/09/23,DEBIT ADVICE FIGURE DD 30 4a 31/05/2023 LEMBAGA TABUNG HAJI .,7558.57,0.00,3287.90
1/09/23,SERVICE CHARGE,2.00,0.00,3285.90
1/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,3335.90
1/09/23,RIB/MB TRF FROM CA/SA,0.00,3000.00,6335.90
2/09/23,RIB/MB TRF FROM CA/SA,0.00,201.00,6536.90
4/09/23,RIB/MB TRF FROM CA/SA,0.00,1500.00,8036.90
4/09/23,DEBIT ADVICE RIB PAYMENT DD 01 02/09/23 . LEMBAGA TABUNG HAJI K,5972.00,0.00,2064.90
4/09/23,SERVICE CHARGE,2.00,0.00,2062.90
5/09/23,RIB/MB TRF FROM CA/SA,0.00,60.00,2122.90
5/09/23,RIB/MB TRF FROM CA/SA,0.00,1301.00,3423.90
5/09/23,RIB/MB TRF FROM CA/SA,0.00,200.00,3623.90
5/09/23,RIB/MB TRF FROM CA/SA,0.00,4000.00,7623.90
5/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,7723.90
5/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,7823.90
5/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,7873.90
5/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,7923.90
5/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,7973.90
5/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,8023.90
5/09/23,DEBIT ADVICE RIB PYMT DD 04/09/23 N LEMBAGA TABUNG HAJI pa,1500.00,0,6523.90
5/09/23,SERVICE CHARGE,2.00,0.00,6521.90
5/09/23,RIB/NB TRF FROM CA/SA,0.00,100.00,6621.90
6/09/23,RiB/MB TRF TO CA/SA,100.00,0,6521.90
6/09/23,DEBIT ADVICE FIGURE DD 05/09/2023 LEMBAGA TABUNG HAJI,5961.00,0.00,560.90
6/09/23,SERVICE CHARGE,2.00,0.00,558.90
6/09/23,RIB/MB TRF FROM CA/SA,0.00,1000.00,1558.90
7/09/23,RIB/MB TRF FROM CA/SA,0.00,800.00,2358.90
7/09/23,DEBIT ADVICE RIB PYMT DD 06/09/20 LEMBAGA TABUNG HAJI,1000.00,0.00,1358.90
7/09/23,SERVICE CHARGE,2.00,0.00,1356.90
8/09/23,RiB/MB TRF FROM CA/SA,0.00,200.00,1556.90
8/09/23,DEBIT ADVICE RIB PYMT DD 07/09/23 LEMBAGA TABUNG HAJI c,800.00,0.00,756.90
8/09/23,SERVICE CHARGE,2.00,0.00,754.90
10/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,854.90
11/09/23,RIB/MB TRF FROM CA/SA,0.00,200.00,1054.90
11/09/23,RIB/MB TRF FROM CA/SA,0.00,450.00,1504.90
11/09/23,DEBIT ADVICE RIB PYMT DD 08/09/23 10/09/23 LEMBAGA TABUNG HAJI,300.00,0.00,1204.90
11/09/23,SERVICE CHARGE,2.00,0.00,1202.90
12/09/23,RIB/MB TRF FROM CA/SA,0.00,110.00,1312.90
12/09/23,RIB/MB TRF FROM CA/SA,0.00,10.00,1322.90
12/09/23,DEBIT ADVICE FIGURE DD 11/09/2023 LEMBAGA TABUNG HAJI pa,650.00,0.00,672.90
12/09/23,SERVICE CHARGE,2.00,0.00,670.90
13/09/23,DEBIT ADVICE FIGURE DD 12/09/2023 LEMBAGA TABUNG HAJI,120.00,0,550.90
13/09/23,SERVICE CHARGE,2.0,0.00,548.90
13/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,648.90
14/09/23,DEBIT ADVIC RIB PYMT DD 13/09/23 LEMBAGA TABUNG HAJI pa,100.00,0.00,548.90
14/09/23,SERVICE CHARGE,2.00,0.00,546.90
17/09/23,RIB/MB TRF FROM CA/SA,0.00,200.00,746.90
18/09/23,RIB/MB TRF FROM CA/SA,0,1000.00,1746.90
18/09/23,DEBIT ADVICE RIB PYMT DD 17/9/23 LEMBAGA TABUNG HAJI,200.00,0.00,1546.90
18/09/23,SERVICE CHARGE,2.0,0.00,1544.90
19/09/23,DEBIT ADVICE . RIB PYMT DD 18/09/23 N . . LEMBAGA TABUNG HAJI,1000.00,0.00,544.90
19/09/23,SERVICE CHARGE,2.00,0.00,542.90
20/09/23,RIB/MB TRF FROM CA/SA,0.00,3000.00,3542.90
21/09/23,RIB/MB TRF FROM CA/SA,0.00,300.00,3842.90
21/09/23,DEBIT ADVICE RIB PYMT DD 20/05/23 LEMBAGA TABUNG HAJI,3000.00,0.00,842.90
21/09/23,SERVICE CHARGE,2.00,0.00,840.90
21/09/23,RIB/MB TRF FROM CA/SA,0.00,500.00,1340.90
22/09/23,RIB/MB TRF FROM CA/SA,0.00,1000.00,2340.90
22/09/23,RIB/MB TRF FROM CA/SA,0.00,220.00,2560.90
22/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,2660.90
22/09/23,RIB/MB TRF FROM CA/SA,0.00,1400.00,4060.90
22/09/23,RIB/MB TRF FROM CA/SA,0,1000.00,5060.90
22/09/23,RIB/MB TRF FROM CA/SA,0.00,500.00,5560.90
22/09/23,DEBIT ADVICE RIB PAYMI DD 21/9/23 LEMBAGA TABUNG HAJI Lai,800.00,0.00,4760.90
22/09/23,SERVICE CHARGE,2,0.00,4758.90
22/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,4808.90
22/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,4908.90
22/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,4958.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,5008.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,5058.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,251.00,5309.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,5409.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,51.00,5460.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,150.00,5610.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,51.00,5661.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,41.00,5702.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,5802.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,60.00,5862.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,51.00,5913.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,51.00,5964.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,6064.90
23/09/23,RIB/VB TRF FROM CA/SA,0,101.00,6165.90
23/09/23,RI1B/MB TRF FROM CA/SA,0.00,1000.00,7165.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,150.00,7315.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,7415.90
23/09/23,RIB7MB TRF FROM CA/SA,0.00,100.00,7515.90
23/09/23,RIB/MB TRF FROM CA/SA,0.00,120.00,7635.90
23/09/23,R18/MB TRF FROM CA/SA,0.00,100.00,7735.90
24/09/23,RIB/MB TRF FROM CA/SA,0.00,70.00,7805.90
24/09/23,RIB/MB TRF FROM CA/SA,0.00,70.00,7875.90
24/09/23,RIB/MB TRF FROM CA/SA,0.00,200.00,8075.90
24/09/23,RIB/MB TRF FROM CA/SA,0.00,200.00,8275.90
24/09/23,R1B/MB TRF FROM CA/SA,0.00,70.00,8345.90
24/09/23,RIB/NB TRF FROM CA/SA,0,20.00,8365.90
24/09/23,RIB/MB TRF FROM CA/SA,0.00,700.00,9065.90
24/09/23,RIB/MB TRF FROM CA/SA,0.00,70.00,9135.90
24/09/23,RIB/MB TRF FROM CA/SA,0.00,70.00,9205.90
24/09/23,RIB/MB TRF FROM CA/SA,0,70.00,9275.90
24/09/23,RIB/NB TRF FROM CA/SA,0.00,60.00,9335.90
24/09/23,RIB/MB TRF FROM CA/S,0.00,60.00,9395.90
24/09/23,RIB/NB TRF FROM CA/SA,0.00,60.00,9455.90
24/09/23,RIB/MB TRF FROM CA/SA,0.00,150.00,9605.90
25/09/23,RIB/VB TRF FROM CA/SA,0.00,31.00,9636.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,51.00,9687.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,1000.00,10687.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,31.00,10718.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,200.00,10918.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,2001.00,12919.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,12969.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,13019.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,1000.00,14019.90
25/09/23,RIB/MB TRF FROM CA/SA,0.0,50.00,14069.90
25/09/23,R1B/MB TRF FROM CA/SA,0.00,50.00,14119.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,500.00,14619.90
25/09/23,RIB/MB TRF FROM GA/SA,0.00,600.00,15219.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,15269.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,600.00,15869.90
25/09/23,RIB/MB TRF TO CA/SA,50.00,0.00,15819.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,15869.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,15969.90
25/09/23,DEBIT ADVICE RIB PAYMENT .,9017.00,0.00,6952.90
25/09/23,SERVICE CHARGE,2,0.00,6950.90
25/09/23,RIB/MB TRF FROM CA/SA,0.00,401.00,7351.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,31.00,7382.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,10.00,7392.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,31.00,7423.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,30.00,7453.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,31.00,7484.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,7584.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,500.00,8084.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,10.00,8094.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,8144.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,31.00,8175.30
26/09/23,RIB/MB .TRF FROM GA/SA,0.00,2000.00,101765.90
26/09/23,RIB/MB TRF TO CA/SA,50.00,0.00,10125.90
26/09/23,RIB/MB TRE FROM CA/SA,0.00,100.00,10225.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,5000.00,15225.90
26/09/23,DEBIT ADVICE FIGURE DD 25/09/2023 LEMBAGA TABUNG HAJI,6364.00,0.00,8861.90
26/09/23,SERVICE CHARGE,2.00,0.00,8859.90
26/09/23,RIB/MB TRF FROM CA/SA,0,300.00,9159.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,200.00,9359.90
26/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,9459.90
27/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,9559.90
27/09/23,RIB/MB TRF FROM CA/SA,0.00,500.00,10059.90
27/09/23,RIB/MB TRF FROM CA/SA,0.00,2000.00,12059.90
27/09/23,DEBIT ADVICE RIB PYMT DD 26/09/23 LEMBAGA TABUNG HAJI,8925.00,0.00,3134.90
27/09/23,SERVICE CHARGE,2.0,0.00,3132.90
27/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,3182.90
27/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,3232.90
27/09/23,RIB/MB TRF FROM CA/SA,0.00,200.00,3432.90
27/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,3532.90
27/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,3632.90
27/09/23,RIB/MB TRF FROM CA/SA,0.00,100.00,3732.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,150.00,3882.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,201.00,4083.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,1001.00,5084.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,201.00,5285.90
28/09/23,RiB/MB TRF FROM CA/SA,0.00,51.00,5336.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,101.00,5437.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,101.00,5538.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,300.00,5838.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,101.00,5939.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,101.00,6040.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,6090.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,201.00,6291.90
28/09/23,R1B/M3 TRF FROM CA/SA,0.00,1000.00,7291.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,500.00,7791.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,500.00,8291.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,1000.00,9291.90
28/09/23,RIB/MB TRF FROM CA/S,0.00,1200.00,10491.90
28/09/23,RIB/MB TRF FROM CA/SA,0.00,250.00,10741.90
29/09/23,RIB/MB TRF FROM CA/SA,0.00,250.00,10991.90
29/09/23,RIB/MB TRF FROM CA/SA,0.00,1000.00,11991.90
29/09/23,DEBIT ADVICE FIGURE DD 27 4 28/09/2023 LEMBAGA TABUNG HAJI,8759.00,0.00,3232.90
29/09/23,SERVICE CHARGE,2.00,0.00,3230.90
29/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,3280.90
29/09/23,RIB/MB TRF FROM CA/SA,0.00,50.00,3330.90
29/09/23,RIB/MB TRF FROM CA/SA,0.0,500.00,3830.90
30/09/23,RIB/MB TRF FROM CA/SA TOTAL CREDIT 150 60968.00 TOTAL DEBIT 39 62/262.57,0.00,3000.00,6830.90
