Date,Transaction Description,Debit,Credit,Balance
31/08/23,B/F,.00,00,8125.47
1/09/23,RIB/MB TRF FROM CA/SA,.0,30.00,8155.47
1/09/23,RIB/MB TRF FROM CA/SA,.0,101.00,8256.47
1/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,8356.47
1/00/23,RIB/MB TRF FROM CA/SA,.0,30.00,8386.47
1/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,8486.47
4/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,8586.47
1/09/23,RIB/MB TRF FROM CA/SA,.0,30.00,8616.47
1/09/23,RIB/MB TRF FROM CA/SA,.0,30.00,8646.47
14/09/23,RIB/MB TRF FROM CA/SA  n,.0,1000.00,9646.47
1/09/23,RIB/MB TRF FROM CA/SA,.0,1000.00,10646.47
1/09/23,RIB/MB TRF FROM CA/SA,.0,200.00,10846.47
1/09/23,DEBIT ADVICE,7558.57,.00,3267.90
1/09/23,SERVICE CHARGE,2.00,.00,3285.90
1/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,3335.90
1/09/23,RIB/MB TRF FROM CA/SA,.0,3000.00,6335.90
2/09/23,RIB/MB TRF FROM CA/SA,.0,201.00,6536.90
4/09/23,RIB/MB TRF FROM CA/SA,.0,1500.00,8036.90
4/09/23,DEBIT ADVICE,5972.00,.00,2064.90
4/09/23,SERVICE CHARGE,2.09,.00,2062.90
5/09/23,RIB/MB TRF FROM CA/SA,.0,60.00,2122.90
5/09/23,RIB/MB TRF FROM CA/SA,.0,1301.00,3423.00
5/09/23,RIB/MB TRF FROM CA/SA MA,.0,200.00,3623.90
5/09/23,RIB/MB TRF FROM CA/SA,.0,4000.00,7623.90
5/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,7723.90
5/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,7823.90
5/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,7873.90
5/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,7923.90
5/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,7973.90
5/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,8023.90
5/09/23,DEBIT ADVICE,1500,.00,6523.90
5/09/23,SERVICE CHARGE,2.00,.00,6521.90
5/09/23,RIB/VMB TRF FROM CA/SA,.0,100.00,6621.90
6/09/23,RIB/MB TRF TO CA/SA,100.00,.00,6521.90
6/09/23,DEBIT ADVICE FIGURE DD 05/09/2023 LEMBAGA TABUNG HAJI,5961.00,.00,560.90
6/09/23,SERVICE CHARGE,2.00,.00,558.90
6/09/23,RIB/MB TRF FROM CA/SA,.0,1000.00,1558.00
7/00/23,RIB/MB TRF FROM CA/SA,.0,800.00,2358.90
7/09/23,DEBIT ADVICE RIB PYMT DD 06/09/20 LEMBAGA TABUNG HAJI,1000.00,.00,1358.90
7/09/23,SERVICE CHARGE,2,00,7,00,1356,90
8/09/23,RIB/M,2,TRF,FR0M,CA/5A,00,200,00,1556,90
8/09/23,DEBIT ADVICE a RIB PYMT DD 07/09/23 LEMBAGA TABUNG HAJI e B/OB/23 SERVICE CHARGE 2.0 .00 754.00,.0,00.00,756.90
10/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,854.90
11/09/23,RIB/MB TRF FROM CA/SA,.0,200.00,1054.90
11/09/23,RIB/MB TRF FROM CA/SA,.0,450.00,1504.90
41/09/23,DEBIT ADVICE RIB PYMT DD 08/09/23 10/09/23 LEMBAGA TABUNG HAJI,300.00,.00,1204.90
11/09/23,SERVICE CHARGE,2.00,.00,1202.90
12/09/23,RIB/MB TRF FROM CA/SA,.0,110.00,1312.90
12/09/23,RIB/MB TRF FROM CA/SA,.0,10.00,1322.90
12/09/23,DEBIT ADVICE FIGURE DD 11/08/2023 LEMBAGA TABUNG HAJI Pa,650.00,.00,672.90
12/09/23,SERVICE CHARGE,2.00,.00,670.90
13/09/23,DEBIT ADVICE FIGURE DD 12/09/2023 LEMBAGA TABUNG HAJI,120.00,.00,550.90
13/09/23,SERVICE CHARGE,2.00,.00,548.90
13/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,648.90
